序号,标题,房型,面积,朝向,楼层,建造时间,每平方米/万元,总房价,地址
0,新（售楼部 直销处）来电咨询可享8.5折上折 价格有的谈,2室2厅1卫,76㎡,南北,高层(共26层),2020年建造,19422元/㎡,147.6万,通州-通州周边-漷小路
1,长阳首付74万全南两居二次装修（30万） 入手即住只有契税,2室1厅1卫,85.8㎡,南,低层(共16层),2011年建造,30205元/㎡,259万,房山-长阳-昊天北大街48号
2,通州现房 十里春风 采光好 带车位 看房方便可接 可公积金,2室2厅1卫,72㎡,南北,高层(共27层),2019年建造,21528元/㎡,155万,通州-通州周边-漷小路
3,十里春风，新房现房，南北通透两居室，刚需，低首付，看房有班车,2室2厅1卫,76㎡,南北,低层(共27层),2018年建造,19737元/㎡,150万,通州-通州周边-漷小路
4,北京通州城市副中心 南北通透一梯两户 现房   即住 刚需盘,2室2厅1卫,72㎡,南北,高层(共27层),2018年建造,20834元/㎡,150万,通州-通州周边-漷小路
5,房山良乡，昊天温泉家园，两室一厅，南北通透，集中供暖，急售,2室1厅1卫,78.2㎡,东西,中层(共6层),2000年建造,26215元/㎡,205万,房山-良乡-房山区良乡昊天大街114号
6,1665万 西湖新村 776平独栋别墅 北七家科学城 法拍房,6室3厅3卫,776.8㎡,南北,共3层,1996年建造,38493元/㎡,2990万,昌平-小汤山南-立汤路
7,北京通州台湖南 现房 特惠房源 有车位 来电享优惠看房有班车,2室2厅1卫,72㎡,南北,中层(共27层),2018年建造,20834元/㎡,150万,通州-通州周边-漷小路
8,收费1个点 首付100万 炫特嘉园 低总价一居 购房节约成本,1室0厅1卫,40㎡,北,中层(共25层),2004年建造,66250元/㎡,265万,朝阳-石佛营-石佛营东路
9,金台路地铁口，南向一居室，精装，随时看房,1室1厅1卫,42.2㎡,南,高层(共6层),1982年建造,64057元/㎡,270万,朝阳-团结湖-水碓子中路
10,城市副中心南，实景现房！全明格局南北三居，前后花园，首期十万,3室2厅1卫,89㎡,南北,低层(共27层),2021年建造,18877元/㎡,168万,通州-通州周边-漷小路
11,（售楼处，专车看房）首期十万现房发售，带车位，南北两居看花园,2室2厅1卫,78㎡,南北,高层(共27层),2019年建造,20513元/㎡,160万,通州-通州周边-漷小路
12,宾阳北里三层。实用三居室。。户型好，买了不上当,3室2厅1卫,83.5㎡,南北,中层(共6层),2000年建造,24917元/㎡,208万,密云-密云城区-新东路
13,21世纪店庆1.5，南北通透2居,2室2厅1卫,89㎡,南北,高层(共22层),2013年建造,46742元/㎡,416万,朝阳-垡头-双合中路3号
14,通州环球影城南 十里春风现房南北通透带车位 看房方便 可接,2室2厅1卫,78㎡,南北,中层(共27层),2019年建造,20257元/㎡,158万,通州-通州周边-漷小路
15,西红门礼域府52平朝南1室1厅采光好带南外平台满五  ,1室1厅1卫,52㎡,南,低层(共13层),2012年建造,63462元/㎡,330万,大兴-西红门-西红门北一街1号
16,机床研究所家属楼 59平米 三层,2室1厅1卫,59.3㎡,南北,共3层,1968年建造,13165元/㎡,78万,密云-密云城区-密关路
17,房山良乡，昊天温泉家园，三室一厅，南北通透，集中供暖，急售,3室1厅1卫,94.3㎡,南北,中层(共6层),2000年建造,24812元/㎡,234万,房山-良乡-房山区良乡昊天大街114号
18,满五 迎风四里 简单装修 2室1厅 采光好 周边商圈成熟,2室1厅1卫,50.6㎡,北,共5层,1979年建造,18958元/㎡,96万,房山-燕山-迎风五巷
19,瑞雪春堂 3室1厅 电梯房 精装修 诚心出售 价格可议,3室1厅2卫,117㎡,南北,高层(共17层),2010年建造,33248元/㎡,389万,房山-良乡-良官公路
20,福胜家园 豪装三居室 三层 南北通透 有钥匙 看房方便,3室1厅1卫,120.1㎡,南北,中层(共6层),2008年建造,23727元/㎡,285万,房山-房山城关-城关东大街2号
21,价格可大谈！！全新！星河湾三期352平  超好格局 观景大宅,4室2厅4卫,352㎡,南北,高层(共31层),2009年建造,93745元/㎡,3300万,朝阳-朝青板块-四季星河中街1号
22,通州北关 朝北8080 47平全款100万朝南 独立  ,1室1厅1卫,50㎡,南,中层(共7层),2015年建造,33000元/㎡,165万,通州-北关-商通大道
23,房源采光好，楼间距大，南北通透，精装修，业主诚意出，白菜价,3室2厅1卫,88.1㎡,南北,低层(共11层),2016年建造,25988元/㎡,229万,通州-台湖镇-通房路
24,小吴推荐，好房源，70年住宅，现房两居，十里春风，班车看房,2室2厅1卫,76㎡,南北,低层(共27层),2020年建造,19737元/㎡,150万,通州-通州周边-漷小路
25,北京通州副中心 十里春风现房 环境优美 视野采光充足,2室2厅1卫,76㎡,南北,高层(共27层),2019年建造,20395元/㎡,155万,通州-通州周边-漷小路
26,热推房源万达商圈 果园地铁站 新华联家园北区  中高层带电梯,1室0厅1卫,46.6㎡,北,中层(共11层),2004年建造,41220元/㎡,192万,通州-果园-运河西大街30号
27,良乡北潞春电梯房三居全明户型采光好看房方便,3室1厅2卫,107.8㎡,东南,中层(共12层),2000年建造,23379元/㎡,252万,房山-良乡-房山区良乡月华大街
28,通州现房十里春风 南北通州户型方正带车位 宜居 环境好 可接,2室2厅1卫,78㎡,南北,中层(共27层),2019年建造,20385元/㎡,159万,通州-通州周边-漷小路
29,春天里小区 满五   南北四居室,4室2厅1卫,95.5㎡,南,高层(共26层),2013年建造,47874元/㎡,457万,大兴-生物医药基地-思邈路1号
30,（拥0.8点）走单 带拌过沪 业主已购待售 花园洋房品质,3室2厅2卫,129.6㎡,南北,低层(共8层),2015年建造,59959元/㎡,777万,大兴-亦庄西区-隆德路
31,晓月苑一里 中楼层 一居室  南北通透 无遮挡 近地铁,1室1厅1卫,57.9㎡,南北,中层(共6层),1997年建造,39531元/㎡,229万,丰台-卢沟桥-晓月中路
32,万科城市之光 48平朝南130万 双层空间 手续齐全 亦庄线,2室1厅2卫,54㎡,南,低层(共16层),2018年建造,42593元/㎡,230万,通州-次渠-东石东五路2号
33,（售楼处直售）现房南北通透两居，有车位，来电享团购，  即住,2室2厅1卫,76㎡,南北,低层(共27层),2018年建造,19737元/㎡,150万,通州-通州周边-漷小路
34,新上      珠光御景 南向大一居可做小两居 满五 价可谈,1室1厅1卫,56㎡,南北,中层(共6层),2014年建造,35715元/㎡,200万,丰台-长辛店-太柏西路2号
35,前泥洼 必卖好房 板楼把 边户型，东南北 通透，随时签约,3室1厅1卫,76.9㎡,北,低层(共6层),1993年建造,61769元/㎡,475万,丰台-丰益桥-丰管路
36,首付（10万 走团购 走量）来电咨询8.5折上折 价格有的聊,3室2厅1卫,88.9㎡,南北,高层(共26层),2020年建造,18977元/㎡,168.7万,通州-通州周边-漷小路
37,长阳碧桂园南北通透 94平 满五一套 电梯房 视野采光好,2室1厅1卫,94.4㎡,南北,高层(共11层),2007年建造,27557元/㎡,260万,房山-长阳-昊天北大街
38,买房只收1.3 南庭新苑北区 2室 58.42 低楼层,2室1厅1卫,58.4㎡,南,低层(共16层),2009年建造,49641元/㎡,290万,丰台-新宫-槐房西路316号
39,金色百一 新元居  精装三室双卫  地下室  南北通透,3室2厅2卫,110㎡,南北,中层(共6层),2003年建造,35455元/㎡,390万,怀柔-怀柔城区-开放路48号
40,着急用房的看过来，70年大  住宅，可看实体房，小区园林好,2室2厅1卫,76㎡,南北,低层(共27层),2020年建造,19737元/㎡,150万,通州-通州周边-漷小路
41,（现房）首付50万起 通州十里春风 线上预约 有看房班车！,2室2厅1卫,76㎡,南北,高层(共27层),2019年建造,20395元/㎡,155万,通州-通州周边-漷小路
42,罗斯福边 高端住宅金成府 南北通透三居室带  车位,3室2厅2卫,164.6㎡,南北,中层(共31层),2016年建造,55759元/㎡,918万,通州-九棵树-京津公路
43,台湖次渠 泰禾一号街区 65平175万 民用水电 可随时过户,2室1厅2卫,65㎡,东,中层(共9层),2015年建造,53847元/㎡,350万,通州-次渠-通马路
44,新上（花园墅质洋房带车位）来电咨询可享83折价格有的谈~通州,3室2厅1卫,90㎡,南北,高层(共27层),2020年建造,18889元/㎡,170万,通州-通州周边-漷小路
45,新上中间楼层两居室 南北通透,2室2厅1卫,80㎡,南北,中层(共18层),2014年建造,23125元/㎡,185万,大兴-大兴周边-育林街
46,17号线 万科城市之光 38平全款95万   清晰随时看房,1室2厅2卫,38㎡,东,中层(共14层),2020年建造,44737元/㎡,170万,通州-次渠-东石东五路2号
47,中海御鑫阁1室0厅1卫C21,1室0厅1卫,39.7㎡,西,高层(共20层),2012年建造,70476元/㎡,280万,丰台-科技园区-六圈路2号
48,西城区 前门私产双证平房 精装修有厨房235万配套成熟,1室0厅0卫,18㎡,西,共1层,1990年建造,130556元/㎡,235万,西城-和平门-韩家胡同
49,沿湖美景~二层  121平3室2卫~,3室2厅2卫,121㎡,南北,低层(共6层),2006年建造,24794元/㎡,300万,密云-密云城区-新中街
50,建华北里 89平 南北通透 满五  住房 居家自住 保养好,2室2厅1卫,90㎡,南北,高层(共6层),1998年建造,24448元/㎡,220万,房山-良乡-体育场路
51,东风南里 1室 1厅 31.6平米,1室1厅1卫,31.6㎡,南,共5层,2005年建造,23735元/㎡,75万,房山-燕山-双泉路
52,阳光城溪山悦 合院别墅 345万起售 随时看房 户型好环境美,3室2厅3卫,136.7㎡,南北,共5层,2020年建造,25235元/㎡,345万,密云-溪翁庄-密溪路
53,裕龙三区带西窗！2居！340万！94.24平米！仅有契税,2室1厅1卫,94.2㎡,南北,高层(共18层),2009年建造,36609元/㎡,345万,顺义-顺义城区-裕龙一街
54,花园小区密云  2室   精装修,2室2厅1卫,66.4㎡,南北,高层(共6层),2000年建造,23796元/㎡,158万,密云-密云城区-鼓楼东大街
55,亦庄马驹桥珠江逸景自住两居 南向 随时签约 诚心出售 有房本,2室1厅1卫,98.8㎡,南,低层(共11层),2009年建造,26921元/㎡,266万,通州-马驹桥-景盛北一街16号
56,南北通透 中国水电云立方100.8平米 413万,3室2厅1卫,100.9㎡,南北,低层(共21层),2015年建造,40948元/㎡,413万,大兴-生物医药基地-永旺路6号
57,远洋山水南区 1室1厅1卫 经典实用 主卧朝南,1室1厅1卫,52.6㎡,南,高层(共24层),2008年建造,65577元/㎡,345万,石景山-八宝山-莲石东路
58,（特价）香河花语城 70年住宅 带车位 精装修 配套完善,2室2厅1卫,75㎡,南北,中层(共24层),2019年建造,7334元/㎡,55万,北京周边-廊坊-271省道
59,总价43万~地铁直达北京丰台~小两居带车位~北京通用医疗教育,2室2厅1卫,68㎡,南北,高层(共18层),2016年建造,5883元/㎡,40万,北京周边-廊坊-兴南路
60,"西湖新村~采光好~低楼层~独立客厅~户型方正,看房随时",2室2厅1卫,89.3㎡,南北,中层(共7层),1997年建造,34263元/㎡,306万,昌平-北七家-立汤路
61,"长安小区，朝南精装3房,户型正气,楼层好老少皆宜,",3室2厅1卫,89.4㎡,南北,高层(共6层),2006年建造,20699元/㎡,185万,密云-密云城区-鼓楼西大街
62,密云区(密云县) 3室2厅2卫 111.92平米,3室2厅2卫,111.9㎡,南北,低层(共6层),2004年建造,20104元/㎡,225万,密云-密云城区-檀西路
63,京南养老温泉现房！贈车位！落地大阳台 邻地铁口 配套成熟方便,2室2厅1卫,83㎡,南北,低层(共18层),2019年建造,5904元/㎡,49万,北京周边-廊坊-兴南路
64,881万 朝阳三元桥 金星园两居室 中楼层电梯房仅契税法拍房,2室1厅1卫,104㎡,南,中层(共14层),2004年建造,103847元/㎡,1080万,朝阳-太阳宫-太阳宫南街
65,世纪家园~可做2居~136.41平~南北朝向~视野开阔~采光,2室2厅2卫,136.4㎡,南北,低层(共20层),2006年建造,21700元/㎡,296万,密云-密云周边-新中街
66,长安小区婚房2室 采光充足南北中间楼层,2室2厅1卫,90.8㎡,南北,中层(共6层),2006年建造,25876元/㎡,235万,密云-密云城区-鼓楼西大街
67,金色百一 龙山御景  精装修 高档社区  南北通透 诚意出售,3室2厅1卫,128.9㎡,南北,高层(共22层),2013年建造,43435元/㎡,560万,怀柔-怀柔城区-龙山东路
68,（力荐）涿州城中央，低密高品质三室两厅两卫，带家电带地下室,3室2厅2卫,101㎡,南北,中层(共18层),2019年建造,7822元/㎡,79万,"北京周边-保定-长空路,近龙马路"
69,大兴南高铁站20万一套通透两居有车位大  有房本能  交通好,2室2厅1卫,78.3㎡,南北,低层(共18层),2020年建造,2556元/㎡,20万,北京周边-廊坊-京环线
70,2室1厅 54平 简单装修 南北通透 满五  住房 诚心出售,2室1厅1卫,54㎡,南北,共5层,1990年建造,27408元/㎡,148万,平谷-平谷城区-建设街
71,（团购直销8.5折）东拼西凑 叠拼别墅 现买现住 拎包入住,4室2厅2卫,137.6㎡,南北,低层(共6层),2020年建造,23496元/㎡,323.3万,大兴-大兴周边-南北大街
72,东旺胡同  府学胡同 私产平房双证齐全北房带后窗随时可以看房,1室1厅1卫,20㎡,南北,共1层,2011年建造,150000元/㎡,300万,东城-交道口-大兴胡同
73,中加荣园北区超 南北 可遇不可求 温馨2室,2室2厅2卫,97.5㎡,南北,中层(共11层),2006年建造,24206元/㎡,236万,密云-密云城区-果园南街9号
74,华远澜悦~3室1厅~88.00平米~一层看房方便,3室1厅1卫,88㎡,南北,低层(共11层),2006年建造,23864元/㎡,210万,密云-密云城区-铁西路6号
75,售楼处虎年改善！亦庄别墅必看80平米南阳台~大兴宽院国誉府~,5室2厅2卫,210㎡,南北,高层(共7层),2020年建造,21429元/㎡,450万,大兴-大兴周边-南北大街
76,售楼处找如花！买房优惠全都要来电直享86折亦庄精装现房洋房,4室2厅2卫,115㎡,南北,中层(共9层),2016年建造,26087元/㎡,300万,大兴-大兴周边-采华路
77,特价来袭！小户型一居室首付几万块，安家北京和雄 安，有公交,1室1厅1卫,45.2㎡,南北,中层(共12层),2020年建造,7036元/㎡,31.8万,北京周边-廊坊-大广高速
78,大兴南|主题公园温泉现房|首付13万月供1800|落地大阳台,2室2厅1卫,68㎡,南北,高层(共18层),2019年建造,6765元/㎡,46万,北京周边-廊坊-益昌路
79,虎年改善！亦庄中央别墅~有天有地百米花园！住总开发品质别墅！,3室3厅3卫,215㎡,南北,低层(共6层),2020年建造,20280元/㎡,436万,大兴-大兴周边-采华路
80,五环内买房只收1.3金荣园  63.25楼层好价格可议,2室1厅1卫,63.3㎡,南北,低层(共6层),1998年建造,34783元/㎡,220万,大兴-西红门-团河路
81,金色百一 宽沟九号院 精典小户型 客厅通阳台 精装修 中间层,1室1厅1卫,59.2㎡,南北,中层(共6层),2007年建造,26690元/㎡,158万,怀柔-桥梓-怀昌路
82,平谷大街38号院   南北通透 诚心出售 两居室 看房方便,2室1厅1卫,54㎡,南北,中层(共6层),2009年建造,25000元/㎡,135万,平谷-平谷城区-平谷大街38号
83,果园西里 业主诚心出售 随时看房,2室2厅1卫,77㎡,南北,高层(共6层),2003年建造,21313元/㎡,164万,密云-密云城区-西门外大街16号
84,富帛家属院~2室1厅~58.00平米,2室1厅1卫,58㎡,南北,中层(共6层),1998年建造,25173元/㎡,146万,密云-密云周边-兴盛北路
85,橡树湾北区~2室2厅~89.00平米,2室2厅1卫,89㎡,南,高层(共20层),2006年建造,26854元/㎡,239万,密云-密云城区-碧澄环路6号
86,久润东区~3室2厅~174.76平米350万,3室2厅2卫,174.8㎡,南北,低层(共6层),2006年建造,20028元/㎡,350万,密云-密云城区-车站路2号
87,136万 城建上河湾电梯洋房 首付48万 房本清晰 视野开阔,2室1厅1卫,72㎡,南北,中层(共14层),2015年建造,23483元/㎡,169万,密云-密云城区-京沈路
88,北京新亦庄 特价6500现房|带精装修 8万首付拿钥匙  房,3室2厅1卫,90㎡,南北,中层(共18层),2019年建造,6112元/㎡,55万,北京周边-廊坊-廊霸线
89,宾阳里~3室2厅~100.16平米248万,3室2厅2卫,100.2㎡,南北,中层(共6层),2006年建造,24761元/㎡,248万,密云-密云城区-新东路
90,北京南20公里优惠现房10万首付精装现房  即住 配套成熟,2室2厅1卫,90㎡,南北,高层(共18层),2020年建造,6000元/㎡,54万,北京周边-廊坊-恒山北路
91,特价房2万！安家 北京大兴机场南永清科技创新区！临地铁商业街,2室2厅1卫,80㎡,南北,低层(共18层),2018年建造,6000元/㎡,48万,北京周边-廊坊-曹韩线
92,售西城广内康乐里一间私产独门独院门前空地10米房子很高诚心卖,1室0厅0卫,16㎡,南北,共1层,2000年建造,148750元/㎡,238万,西城-长椿街-广安胡同
93,沿湖南区~2室1厅~76.85平米228万,2室1厅1卫,76.9㎡,南北,低层(共6层),2006年建造,29669元/㎡,228万,密云-密云城区-新中街19号
94,丰卉家园97.02平米南北双阳台双卫生间小区中间位置诚心出售,2室2厅2卫,92㎡,南北,低层(共7层),2006年建造,53027元/㎡,488万,丰台-五里店-程庄中街
95,川  区 2室1厅1卫 55.88平米 152万 二层,2室1厅1卫,55.9㎡,南北,共5层,1988年建造,27202元/㎡,152万,延庆-延庆城区-东外大街
96,富强西里 满五年   两居室 诚心出售,2室1厅1卫,50.7㎡,西北,共4层,1987年建造,35278元/㎡,179万,大兴-黄村-兴华大街
97,北京上班~安家永清北~    月低2千~3克中到南三环~现房,3室2厅1卫,98㎡,南北,中层(共27层),2016年建造,5409元/㎡,53万,北京周边-廊坊-曹韩线
98,明珠花园低层~3室2厅~116.00平米185万,3室2厅2卫,116㎡,南北,低层(共6层),2006年建造,15518元/㎡,180万,密云-密云城区-西大桥路
99,清澄名苑南区 南北通透 三居室,3室2厅2卫,151㎡,南北,中层(共11层),2003年建造,47020元/㎡,710万,大兴-兴华大街-兴华大街13号
100,售楼处咨询处！独门独院私梯入户来电86折~亦庄别墅宽院国誉府,4室2厅2卫,175㎡,南北,共5层,2020年建造,20000元/㎡,350万,大兴-大兴周边-南北大街
101,金色百一 富乐二区 精装一层 南北通透 看房方便,3室2厅1卫,92.3㎡,南北,低层(共6层),1996年建造,28727元/㎡,265万,怀柔-怀柔城区-滨湖北街
102,（复式l0ft）开盘特价！买一得两层！贈12平衣帽间！集中暖,2室2厅1卫,52㎡,南,中层(共18层),2019年建造,5731元/㎡,29.8万,北京周边-保定-鹏程大街
103,四环 14号线地铁300米 转角落地窗 12平米阳台,4室2厅2卫,160㎡,南北,低层(共6层),2021年建造,82500元/㎡,1320万,丰台-卢沟桥-张仪村路
104,南北通透~涧桥山洋房~三室两卫,3室2厅2卫,124㎡,南北,共5层,2006年建造,25646元/㎡,318万,密云-密云城区-园林东路1号
105,业主诚心出售6小5中，现浇房，现代精装，南北通透户型，,2室1厅1卫,54㎡,南北,中层(共6层),2012年建造,25186元/㎡,136万,平谷-平谷城区-平谷南街35号
106,手速价格现房5000！地铁直达北京丰台！大兴机场南临空经济区,2室2厅1卫,80㎡,南北,中层(共18层),2019年建造,5000元/㎡,40万,北京周边-廊坊-曹韩线
107,北京通州大兴南永清现房2888元带装修和车位！高铁直达西城区,3室2厅1卫,110㎡,南北,中层(共17层),2016年建造,2728元/㎡,30万,北京周边-廊坊-盛世大道
108,新（售楼部 直销处）来电咨询可享8.5折上折 价格有的谈,2室2厅1卫,74.2㎡,南北,低层(共9层),2020年建造,23531元/㎡,174.6万,房山-良乡-京良路
109,总价25万买大三居！现房南北通透！  方便！公交地铁直达北京,3室2厅1卫,100㎡,南北,中层(共11层),2020年建造,2500元/㎡,25万,北京周边-廊坊-京环线
110,  地电报局街 3室1厅 南北三居刚装修两年精装修随时签约,3室1厅1卫,67.5㎡,南北,高层(共6层),2000年建造,78473元/㎡,530万,"丰台-丰益桥-电报局街1,2,3,5号"
111,（团购直销8.5折）东拼西凑 叠拼别墅 现买现住 拎包入住,5室4厅4卫,166.2㎡,南北,共5层,2020年建造,23394元/㎡,388.8万,通州-台湖镇-通房路
112,精装修现房|贈车位 特价2800 有院子（生态宜居）北京周边,2室2厅1卫,70㎡,南北,中层(共15层),2019年建造,2858元/㎡,20万,北京周边-廊坊-爱明道
113,通州东 燕郊核心区域 首付6万 地铁800米   房,1室1厅1卫,30㎡,东,高层(共15层),2017年建造,6667元/㎡,20万,北京周边-燕郊-海油大街
114,大兴机场南15公里永清！2万签洋房！5800起双地铁通勤北京,2室2厅1卫,84㎡,南北,低层(共17层),2020年建造,4762元/㎡,40万,北京周边-廊坊-曹韩线
115,高尔夫别墅（豪宅网优推）四世同堂 独门独院 双车库 随时住,7室2厅7卫,406㎡,南北,共1层,2009年建造,89902元/㎡,3650万,海淀-香山-巨山路
116,"（R1地铁）北京南地铁口电梯洋房 均价6880,给车位",2室2厅1卫,80㎡,南北,中层(共17层),2019年建造,6000元/㎡,48万,北京周边-廊坊-泰山路529号
117,（真实）开发商直售，香河水岸花语，员工内部房，均价6500,3室2厅1卫,105㎡,南北,高层(共8层),2021年建造,6381元/㎡,67万,北京周边-廊坊-富贵路
118,天地百0.9~府前官邸~电梯房~大三居~双卫~双阳间~价可议,3室2厅2卫,132.4㎡,南北,高层(共9层),2012年建造,38532元/㎡,510万,怀柔-怀柔城区-府前街9号
119,燕郊燕京航城三居室117平米195万成熟配套临近地铁,3室2厅2卫,116.8㎡,南北,高层(共25层),2013年建造,16694元/㎡,195万,北京周边-燕郊-创意谷街778号
